M	ENTITY/Machine_learning	ENTITY/Supervised_learning
M	ENTITY/Generalization_error	ENTITY/Multilayer_perceptron
M	ENTITY/Generalization_error	ENTITY/C4.5_algorithm
M	ENTITY/Generalization_error	ENTITY/Ensemble_learning
M	ENTITY/Generalization_error	ENTITY/Computational_learning_theory
M	ENTITY/Generalization_error	ENTITY/AdaBoost
M	ENTITY/Generalization_error	ENTITY/Kernel_method
M	ENTITY/Generalization_error	ENTITY/Early_stopping
M	ENTITY/Local_search_(optimization)	ENTITY/Combinatorial_optimization
M	ENTITY/Local_search_(optimization)	ENTITY/Branch_and_bound
M	ENTITY/Local_search_(optimization)	ENTITY/Stochastic_optimization
M	ENTITY/Conditional_independence	ENTITY/C4.5_algorithm
M	ENTITY/Conditional_independence	ENTITY/Joint_probability_distribution
M	ENTITY/Unsupervised_learning	ENTITY/Multilayer_perceptron
M	ENTITY/Unsupervised_learning	ENTITY/C4.5_algorithm
M	ENTITY/Unsupervised_learning	ENTITY/Ensemble_learning
M	ENTITY/Regression_analysis	ENTITY/Linear_regression
M	ENTITY/Decision_tree_learning	ENTITY/C4.5_algorithm
M	ENTITY/Decision_tree_learning	ENTITY/Ensemble_learning
M	ENTITY/Simulated_annealing	ENTITY/Stochastic_optimization
M	ENTITY/Graph_theory	ENTITY/Glossary_of_graph_theory_terms
M	ENTITY/Multilayer_perceptron	ENTITY/Artificial_neuron
M	ENTITY/Multilayer_perceptron	ENTITY/Radial_basis_function_network
M	ENTITY/Multilayer_perceptron	ENTITY/C4.5_algorithm
M	ENTITY/Multilayer_perceptron	ENTITY/Ensemble_learning
M	ENTITY/Multilayer_perceptron	ENTITY/Perceptron
M	ENTITY/Multilayer_perceptron	ENTITY/Radial_basis_function
M	ENTITY/Multilayer_perceptron	ENTITY/Early_stopping
M	ENTITY/Inductive_logic_programming	ENTITY/C4.5_algorithm
M	ENTITY/Inductive_logic_programming	ENTITY/Ensemble_learning
M	ENTITY/Inductive_logic_programming	ENTITY/Computational_learning_theory
M	ENTITY/Chromosomal_crossover	ENTITY/Genetic_recombination
M	ENTITY/Neuron	ENTITY/Synapse
M	ENTITY/Regularization_(mathematics)	ENTITY/Early_stopping
M	ENTITY/Minimum_description_length	ENTITY/C4.5_algorithm
M	ENTITY/Minimum_description_length	ENTITY/Minimum_message_length
M	ENTITY/Fitness_function	ENTITY/Genetic_operator
M	ENTITY/Genetic_operator	ENTITY/Evolutionary_computation
M	ENTITY/Radial_basis_function_network	ENTITY/Ensemble_learning
M	ENTITY/Radial_basis_function_network	ENTITY/Radial_basis_function
M	ENTITY/Radial_basis_function_network	ENTITY/Early_stopping
M	ENTITY/Superscalar_processor	ENTITY/Speculative_execution
M	ENTITY/Superscalar_processor	ENTITY/Instruction_pipelining
M	ENTITY/Posterior_probability	ENTITY/Prior_probability
M	ENTITY/Branch_predictor	ENTITY/Instruction_pipelining
M	ENTITY/Speculative_execution	ENTITY/Instruction_pipelining
M	ENTITY/Speculative_execution	ENTITY/Instruction_scheduling
M	ENTITY/Feature_selection	ENTITY/Ensemble_learning
M	ENTITY/C4.5_algorithm	ENTITY/Ensemble_learning
M	ENTITY/C4.5_algorithm	ENTITY/Leo_Breiman
M	ENTITY/C4.5_algorithm	ENTITY/Computational_learning_theory
M	ENTITY/C4.5_algorithm	ENTITY/AdaBoost
M	ENTITY/C4.5_algorithm	ENTITY/Minimum_message_length
M	ENTITY/C4.5_algorithm	ENTITY/Kernel_method
M	ENTITY/C4.5_algorithm	ENTITY/Early_stopping
M	ENTITY/Ensemble_learning	ENTITY/Leo_Breiman
M	ENTITY/Ensemble_learning	ENTITY/Computational_learning_theory
M	ENTITY/Ensemble_learning	ENTITY/AdaBoost
M	ENTITY/Ensemble_learning	ENTITY/Kernel_method
M	ENTITY/Ensemble_learning	ENTITY/Early_stopping
M	ENTITY/Ensemble_learning	ENTITY/Stochastic_optimization
M	ENTITY/Ensemble_learning	ENTITY/Feature_extraction
M	ENTITY/Independent_component_analysis	ENTITY/Blind_signal_separation
M	ENTITY/Blind_signal_separation	ENTITY/Feature_extraction
M	ENTITY/Leo_Breiman	ENTITY/Minimum_message_length
M	ENTITY/Exon	ENTITY/Intron
M	ENTITY/Radial_basis_function	ENTITY/Early_stopping
M	ENTITY/AdaBoost	ENTITY/Kernel_method
M	ENTITY/AdaBoost	ENTITY/Early_stopping
M	ENTITY/Markov_decision_process	ENTITY/Stochastic_optimization
M	ENTITY/Kernel_method	ENTITY/Support_vector_machine
M	ENTITY/Kernel_method	ENTITY/Early_stopping
M	ENTITY/Kernel_method	ENTITY/Feature_extraction
