M	ENTITY/Physics	ENTITY/Chemistry
M	ENTITY/Unsupervised_learning	ENTITY/Machine_learning
M	ENTITY/Unsupervised_learning	ENTITY/Recurrent_neural_network
M	ENTITY/Unsupervised_learning	ENTITY/Perceptron
M	ENTITY/Evolutionary_computation	ENTITY/Evolutionary_algorithm
M	ENTITY/Evolutionary_computation	ENTITY/Artificial_neural_network
M	ENTITY/Evolutionary_computation	ENTITY/Machine_learning
M	ENTITY/Genome	ENTITY/RNA
M	ENTITY/Independent_component_analysis	ENTITY/Regularization_(mathematics)
M	ENTITY/Independent_component_analysis	ENTITY/Recurrent_neural_network
M	ENTITY/Quantum_computing	ENTITY/Quantum_mechanics
M	ENTITY/Quantum_computing	ENTITY/Quantum_field_theory
M	ENTITY/Support_vector_machine	ENTITY/Regularization_(mathematics)
M	ENTITY/Support_vector_machine	ENTITY/Artificial_neural_network
M	ENTITY/Support_vector_machine	ENTITY/Machine_learning
M	ENTITY/Support_vector_machine	ENTITY/Recurrent_neural_network
M	ENTITY/Support_vector_machine	ENTITY/Perceptron
M	ENTITY/Semantic_Web	ENTITY/Knowledge_representation_and_reasoning
M	ENTITY/Regularization_(mathematics)	ENTITY/Machine_learning
M	ENTITY/Artificial_intelligence	ENTITY/Machine_learning
M	ENTITY/Connectionism	ENTITY/Artificial_neural_network
M	ENTITY/Connectionism	ENTITY/Recurrent_neural_network
M	ENTITY/Connectionism	ENTITY/Perceptron
M	ENTITY/Artificial_neural_network	ENTITY/Machine_learning
M	ENTITY/Artificial_neural_network	ENTITY/Recurrent_neural_network
M	ENTITY/Artificial_neural_network	ENTITY/Perceptron
M	ENTITY/Machine_learning	ENTITY/Data_mining
M	ENTITY/Machine_learning	ENTITY/Recurrent_neural_network
M	ENTITY/Machine_learning	ENTITY/Perceptron
M	ENTITY/Volatility_(finance)	ENTITY/Stochastic_volatility
M	ENTITY/Volatility_(finance)	ENTITY/Valuation_of_options
M	ENTITY/Recurrent_neural_network	ENTITY/Perceptron
M	ENTITY/Logic_programming	ENTITY/Knowledge_representation_and_reasoning
M	ENTITY/Inflation	ENTITY/Monetary_policy
M	ENTITY/Stochastic_volatility	ENTITY/Valuation_of_options
M	ENTITY/European_Central_Bank	ENTITY/Federal_Reserve_System
M	ENTITY/European_Central_Bank	ENTITY/Monetary_policy
M	ENTITY/Federal_Reserve_System	ENTITY/Monetary_policy
M	ENTITY/Quantum_mechanics	ENTITY/Quantum_field_theory
M	ENTITY/Diesel_engine	ENTITY/Diesel_fuel
M	ENTITY/Quantum_field_theory	ENTITY/String_theory
M	ENTITY/Quantum_field_theory	ENTITY/Conformal_field_theory
M	ENTITY/String_theory	ENTITY/Conformal_field_theory
